Supermarket,Category,Subcategory,Product,Specs,Price,img_link,Time
Mercadona,Fruta,Plátano y uva,Plátano,Pieza 160 g aprox.,"0,30 €",https://prod-mercadona.imgix.net/images/686b751a3e806d7775c5675942b8a2f4.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Plátano y uva,Banana,Pieza 180 g aprox.,"0,18 €",https://prod-mercadona.imgix.net/images/69edef3541bbf3f4b7173c9d617a5698.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Plátano y uva,Plátano macho,Pieza 310 g aprox.,"0,60 €",https://prod-mercadona.imgix.net/images/c22baa2a17de06fbf8477ef25392b7ca.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Plátano y uva,Uva blanca sin semillas,Bandeja 500 g aprox.,"2,25 €",https://prod-mercadona.imgix.net/images/7b5610514b8fc646d0a02def291b8b6d.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Plátano y uva,Uva negra sin semillas,Bandeja 500 g aprox.,"2,25 €",https://prod-mercadona.imgix.net/images/03e5b8dfe12603855c5c3e1cfbfebc28.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Plátano y uva,Uva roja sin semillas,Bandeja 500 g aprox.,"2,25 €",https://prod-mercadona.imgix.net/images/527c0a13ecf06d5097438cd2e8a9ef07.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Manzana y pera,Manzana golden,Pieza 230 g aprox.,"0,37 €",https://prod-mercadona.imgix.net/images/53687de52a3b197dc1d7c3417d693ef8.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Manzana y pera,Manzanas golden,"Bolsa 1,5 kg aprox.","1,79 €",https://prod-mercadona.imgix.net/images/59658e20cce6ca40e294edbe32d8b609.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Manzana y pera,Pera conferencia,Pieza 190 g aprox.,"0,32 €",https://prod-mercadona.imgix.net/images/ee3e71e5011511764af6ba3edc41f4d2.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Manzana y pera,Peras conferencia,"1,5 kg aprox.","2,03 €",https://prod-mercadona.imgix.net/images/51032a014399414f057b3020a930bf6b.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Manzana y pera,Manzana fuji,Pieza 230 g aprox.,"0,41 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Manzana y pera,Manzanas fuji,"Bolsa 1,5 kg aprox.","2,39 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Manzana y pera,Manzana royal gala,Pieza 230 g aprox.,"0,38 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Manzana y pera,Manzana granny smith,Pieza 210 g aprox.,"0,35 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Manzana y pera,Pera rocha,Pieza 150 g aprox.,"0,25 €",https://prod-mercadona.imgix.net/images/7be08c331cdd9aae806a258c5acc46af.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Melón y sandía,Medio melón piel de sapo,"1/2 Pieza 1,17 kg aprox.","2,14 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Melón y sandía,Melón piel de sapo,"Pieza 2,3 kg aprox.","3,66 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Cítricos,Limones,Malla 1 kg,"1,69 €",https://prod-mercadona.imgix.net/images/00efb11505faa7e3d12bc951e59217e1.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Cítricos,Limón,Pieza 200 g aprox.,"0,36 €",https://prod-mercadona.imgix.net/images/c5c512407bc265ae901a3b8efc24ac23.jpg?fit=crop&h=300&w=300,2021-03-21
Mercadona,Fruta,Cítricos,Mandarina,Pieza 110 g aprox.,"0,22 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Cítricos,Mandarina,Malla 2 kg,"3,58 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Cítricos,Naranja,Pieza 330 g aprox.,"0,46 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Cítricos,Naranjas,Malla 3 kg,"3,57 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Cítricos,Naranjas,Malla 5 kg,"4,45 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Cítricos,Pomelo,Pieza 340 g aprox.,"0,60 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Cítricos,Limas,400 g aprox.,"1,40 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Fruta tropical,Kiwi verde,Pieza 110 g aprox.,"0,31 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Fruta tropical,Kiwis verdes,1 kg aprox.,"2,59 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
Mercadona,Fruta,Fruta tropical,Aguacate,Pieza 220 g aprox.,"0,99 €","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQH/wAALCAABAAEBAREA/8QAFAABAAAAAAAAAAAAAAAAAAAACv/EABQQAQAAAAAAAAAAAAAAAAAAAAD/2gAIAQEAAD8Afw//2Q==",2021-03-21
